2416;;2123
2413;;2123
2088;;2123
2390;;2124
285;;2125
2379;;2125
2398;;2125
1376;;2126
1610;;2126
2384;;2126
2395;;2127
1550;;2127
2386;;2128
2392;;2128
2396;;2128
2407;;2129
2389;;2130
2404;;2130
13;;2131
2402;;2132
893;;2132
2412;;2132
2380;;2132
2394;;2133
2403;;2134
2401;;2134
717;;2134
2397;;2134
2411;;2134
2405;;2134
1977;;2134
135;;2135
2409;;2135
353;;2136
2381;;2136
1709;;2136
2414;;2136
2406;;2137
2385;;2137
2417;;2138
2393;;2139
2383;;2139
2400;;2140
6;;2141
2391;;2142
1467;;2142
2387;;2143
2388;;2143
2418;;2144
2382;;2145
1606;;2145
2408;;2146
2399;;2146
167;;2147
2410;;2147
790;;2148
2415;;2148
