0;;1573
1;;1560
10;;217
100;;1523
1000;;98
1001;;1399
1002;;1371
1002;;1474
1002;;6
1002;;700
1002;;701
1002;;780
1002;;880
1002;;94
1003;;50
1004;;565
1005;;31
1006;;1274
1006;;170
1006;;1970
1007;;1216
1007;;1309
1007;;1607
1007;;581
1007;;73
1008;;242
1009;;248
1009;;794
101;;1272
101;;1872
1010;;399
1011;;565
1012;;448
1013;;681
1014;;1585
1015;;485
1016;;400
1016;;624
1017;;100
1018;;1004
1018;;1033
1018;;1034
1018;;1112
1018;;1187
1018;;1260
1018;;1261
1018;;1281
1018;;160
1018;;1681
1018;;260
1018;;307
1018;;336
1018;;61
1018;;951
1019;;222
102;;389
102;;431
1020;;791
1021;;75
1022;;45
1022;;501
1023;;1061
1024;;325
1025;;568
1026;;1054
1027;;1315
1028;;1225
1028;;281
1028;;561
1028;;803
1028;;915
1029;;699
103;;554
1030;;873
1031;;14
1032;;1807
1033;;1686
1034;;895
1035;;1126
1036;;1596
1037;;1856
1038;;1126
1039;;493
104;;403
1040;;1158
1041;;1651
1041;;792
1042;;1293
1043;;2034
1043;;2058
1043;;977
1044;;1177
1045;;1894
1046;;1118
1047;;1234
1047;;285
1048;;1546
1049;;1247
1049;;1426
1049;;850
105;;507
105;;646
1050;;1153
1050;;1924
1051;;240
1052;;57
1053;;204
1054;;1769
1055;;554
1056;;691
1057;;894
1058;;1383
1059;;1536
106;;417
1060;;1337
1061;;808
1062;;987
1063;;162
1064;;17
1065;;1207
1065;;1218
1065;;1289
1066;;112
1067;;1040
1068;;178
1069;;286
107;;1411
107;;279
1070;;447
1071;;1126
1072;;330
1073;;1597
1074;;1167
1076;;1832
1076;;772
1077;;1440
1077;;227
1077;;262
1077;;39
1078;;1700
1078;;732
1079;;840
108;;1633
1080;;1129
1081;;711
1082;;1406
1083;;1025
1084;;186
1085;;1680
1085;;1685
1085;;1772
1086;;1133
1087;;1868
1088;;1318
1088;;1897
1089;;1523
1089;;1945
109;;146
1090;;347
1091;;1446
1092;;1732
1092;;490
1092;;58
1093;;1440
1093;;227
1093;;276
1093;;39
1093;;697
1093;;834
1094;;459
