 202, Bosma, Wieb
 203, Bouroubi, Sadek
 204, Bousbaa, Imad-Eddine
 205, Boussayoud, Ali
 206, Bowen, Matthew
 207, Bower, Amanda
 208, Boyadzhiev, Khristo N.
 209, Boyer, Robert P.
 210, Bradford, Kyle
 211, Bramham, Alexander
 212, Braun, Benjamin
 213, Bray, Patrick F.
 214, Brenner, Hazel N.
 215, Brent, Barry
 216, Brent, Richard
 217, Bresz, Kellie
 218, Breuer, Felix
 219, Breuer, Florian
 220, Brewbaker, Chad
 221, Bridges, Walter
 222, Brillhart, John
 223, Brindle, Benjamin
 224, Broersma, H. J.
 225, Broughan, Kevin A.
 226, Brouwer, Andries E.
 227, Brown, Jim
 228, Brown, Kenneth A.
 229, Brown, Morgan V.
 230, Brown, Ron
 231, Brown, Tom C.
 232, Brunat, Josep M.
 233, Bruno, Jorge
 234, Brunotte, Horst
 235, Bu, AJ
 236, Budden, Mark
 237, Bugeaud, Yann
 238, Buhler, Joe
 239, Bunder, Martin W.
 240, Buontempo, Jenny
 241, Burke, Kyle
 242, Burt, David
 243, Burungale, Ashay
 244, Butler, Steve
 245, Bush, Albert
 246, Buzzard, Kevin
 247, Byard, Kevin
 248, Bykova, Sofya
 249, Byramji, Farzan
 250, Bystrzycki, Rafał
 251, Byrnes, Steven
 252, Bzdȩga, Bartłomiej
 253, Caballero, José Manuel Rodríguez
 254, Cai, Tianxin
 255, Cairns, Brant
 256, Cairns, Grant
 257, Caldwell, Chris K.
 258, Calkin, Neil J.
 259, Calkins, Nicole
 260, Callan, David
 261, Campbell, Andreé Alexander
 262, Campbell, Garikai
 263, Campbell, John Maxwell
 264, Campos, Helena
 265, Candela, Pablo
 266, Canfield, E. Rodney
 267, Cao, Xue-Qin
 268, Cao, Zhu
 269, Caple, Christine
 270, Carlos, Elise
 271, Carlson, Timothy J.
 272, Caro, Yair
 273, Carpi, Arturo
 274, Carter, Jamylle
 275, Carvalho, Alda
 276, Cass, Robert
 277, Cassell, Catherine
 278, Catarino, Paula Maria Machado Cruz
 279, Catt, Elliot
 280, Caveney, Geoffrey
 281, Cégielski, Patrick
 282, Celerier, Charles
 283, Čerin, Zvonko
 284, Cerruti, Umberto
 285, Chabert, Jean-Luc
 286, Chaichana, Tuangrat
 287, Chakraborty, Aninda
 288, Chan, Heng Huat
 289, Chan, Song Heng
 290, Chan, Tsz Ho
 291, Chan, W. H.
 292, Chandler, Ray
 293, Chaney, Zachary
 294, Chang, Mei-Chu
 295, Chaopraknoi, Sureeporn
 296, Chaplick, Steven
 297, Chapman, Jeremy
 298, Chapman, Robin
 299, Chapman, Scott T.
 300, Chappelon, Jonathan
 301, Charlier, Emilie
 302, Chase, Zachary
 303, Chattopadhyay, Jaitra
 304, Chaudhary, M. P.
 305, Chebolu, Sunil K.
 306, Checa, Daniel F.
 307, Chen, Bin
 308, Chen, Fang
 309, Chen, Feng-Juan
 310, Chen, Kuo-Jye
 311, Chen, Li-Chung
 312, Chen, Shi-Chao
 313, Chen, Yong-Gao
 314, Chen, Young-Ming
 315, Chen, Yung-Pin
 316, Chen, Xi
 317, Cheng, Yin Choi
 318, Chern, Shane
 319, Cherukupally, Srikanth
 320, Cheslack-Postava, Tegan
 321, Chikin, Nikolay
 322, Chim, Kwok Chi
 323, Chintamani, Mohan N.
 324, Chinwarakorn, Sirawich
 325, Chipeniuk, Karsten
 326, Chitmung, Natthaphong
 327, Choi, Jongwoo
 328, Choi, Yunseo
 329, Choliy, Yuriy
 330, Choudhry, Ajai
 331, Christober, M. Davamani
 332, Christopher, A. David
 333, Chu, Hùng Việt
 334, Chu, Wenchang
 335, Chung, Chan-Liang
 336, Chung, Fan
 337, Chung, Matthew
 338, Chung, Ping Ngai
 339, Ciere, Michael
 340, Cilleruelo, Javier
 341, Cincotti, Alessandro
 342, Cipra, James Arthur
 343, Cipu, Mihai
 344, Clark, Lane
 345, Clark, Pete L.
 346, Clark, Steven P.
 347, Clayton, Graeme
 348, Clem, Stian
 349, Clifton, Justin
 350, Clow, A.
 351, Cobeli, Christian
 352, Cobo, Helena
 353, Cochrane, Albert
 354, Cochrane, Todd
 355, Coelho, Franscisco
 356, Cohen, Graeme L.
 357, Cohen, Joel E.
 358, Coleman, Deidra
 359, Collins, David
 360, Connolly, Samuel
 361, Coons, Michael
 362, Cooper, Benjamin
 363, Cooper, Curtis
 364, Cooper, Joshua
 365, Cooper, Shaun
 366, Coppersmith, Don
